Player,POS,Team,Age,GP,W,L,Min,PTS,OREB,DREB,REB,AST,TD3,+/-
Ryan Rollins,G,GSW,20,12,5,7,62.1,23,3,9,12,6,0,-47
Jarrell Brantley,PF,UTA,26,4,0,4,39,22,1,5,6,3,0,15
PJ Dozier,G,SAC,26,16,11,5,79.3,22,1,13,14,10,0,-23
Jack White,F,DEN,25,17,13,4,66,21,6,11,17,4,0,-17
Trevelin Queen,SG,IND,26,7,2,5,70,21,8,9,17,6,0,14
Tyrese Martin,G,ATL,24,16,10,6,65.5,21,5,7,12,2,0,1
Carlik Jones,G,CHI,25,7,4,3,56,20,1,4,5,6,0,26
Justin Jackson,SF,BOS,28,23,15,8,107.4,20,2,15,17,9,0,-71
Louis King,SF,PHI,24,1,1,0,28.8,20,2,2,4,2,0,2
Ron Harper Jr.,F,TOR,23,9,6,3,47.5,20,3,4,7,4,0,19
JD Davison,SG,BOS,20,12,11,1,65.7,19,2,7,9,11,0,-6
Tony Bradley,C,CHI,25,12,5,7,33.4,19,1,10,11,1,0,11
Andre Iguodala,F,GSW,39,8,3,5,112.6,17,3,14,17,19,0,35
Justin Minaya,F,POR,24,4,0,4,88.8,17,3,12,15,4,0,-20
Michael Carter-Williams,G,ORL,31,4,1,3,44.5,17,1,4,5,7,0,-26
Xavier Sneed,F,CHA,25,4,0,4,48.2,17,0,5,5,5,0,-28
